id;director_name;original_title;vote_average;genres;release_date;actor1_name;actor2_name;actor3_name;actor4_name;actor5_name
2962;Otto Rippert;Das Ende des Homunculus;6.0;Horror|Science Fiction;1/01/1916;Aud Egede Nissen;Olaf Fønss;Friedrich Kühne;Adolf Paul;Robert Reinert Jr.
2963;Georges Méliès;Voyage à travers l'impossible;7.1;Adventure|Comedy|Fantasy|Science Fiction;1/10/1904;Georges Méliès;Fernande Albeny;none;Jeanne d'Alcy;May de Lavergne
2964;Holger-Madsen;Himmelskibet;6.2;Science Fiction;22/02/1918;Nils Asther;Philip Bech;Alf Blütecher;Frederik Jacobsen;Lilly Jacobson
2965;Michael Anderson;20,000 Leagues Under the Sea;6.0;Adventure|Action|Science Fiction;23/03/1997;Richard Crenna;Ben Cross;Julie Cox;Michael Jayston;none
2966;Rod Hardy;20,000 Leagues Under the Sea;4.5;Adventure|Fantasy|Action|Science Fiction;11/05/1997;Michael Caine;Mia Sara;Bryan Brown;John Bach;Nicholas Hammond
2967;Michael Curtiz;Alraune;0.0;Science Fiction|Horror;1/01/1918;Géza Erdélyi;Gyula Gál;Kálmán Körmendy;Margit Lux;Rózsi Szöllösi
2968;Eugen Illés;Alraune, die Henkerstochter, genannt die rote Hanne;0.0;Horror|Science Fiction;1/01/1918;Max Auzinger;Friedrich Kühne;Ernst Rennspies;Tatjana Sand;Gustav Adolf Semler
2969;Henrik Galeen;Alraune;7.8;Drama|Fantasy|Science Fiction|Horror;25/01/1928;Brigitte Helm;Paul Wegener;Iván Petrovich;Wolfgang Zilzer;Louis Ralph
2970;Richard Oswald;Alraune;2.0;Science Fiction;2/03/1930;Brigitte Helm;none;Albert Bassermann;Harald Paulsen;Adolf E. Licho
2971;Arthur Maria Rabenalt;Alraune;6.5;Drama|Science Fiction;22/10/1952;Hildegard Knef;Erich von Stroheim;Karlheinz Böhm;Harry Meyen;none
2972;Paul Wegener;Der Golem, wie er in die Welt kam;7.1;Horror|Science Fiction|Thriller;28/10/1920;Paul Wegener;Albert Steinrück;Lyda Salmonova;Ernst Deutsch;Hans Sturm
2973;Yakov Protazanov;Аэлита;5.7;Science Fiction|Adventure|Drama|Fantasy;24/09/1924;Yuliya Solntseva;Igor Ilyinsky;Nikolai Tsereteli;Nikolai Tsereteli;Nikolai Batalov
2974;Robert Wiene;Orlacs Hände;6.9;Crime|Drama|Horror;23/09/1924;Conrad Veidt;Alexandra Sorina;Fritz Kortner;Carmen Cartellieri;Fritz Strassny
2976;Adam Shankman;Hairspray;6.5;Comedy|Music|Romance;13/07/2007;John Travolta;Michelle Pfeiffer;Christopher Walken;James Marsden;Queen Latifah
2977;Julian Jarrold;Becoming Jane;7.0;Drama|Romance;2/03/2007;Anne Hathaway;James McAvoy;Julie Walters;James Cromwell;Maggie Smith
2978;Ivan Reitman;Ghostbusters II;6.3;Comedy|Fantasy;15/06/1989;Bill Murray;Dan Aykroyd;Sigourney Weaver;Harold Ramis;Rick Moranis
2979;Hank Braxtan;Return of the Ghostbusters;5.1;Comedy|Fantasy|Science Fiction;1/01/2007;Tim Johnson;J. Michael Weiss;Joel Hanson;Ron Vischer;Arielle Brachfeld
2981;Harry O. Hoyt;The Lost World;6.4;Adventure|Drama|Fantasy|Science Fiction;22/06/1925;Bessie Love;Lewis Stone;Wallace Beery;Lloyd Hughes;Alma Bennett
2982;Irwin Allen;The Lost World;5.1;Adventure|Fantasy|Science Fiction;13/07/1960;Michael Rennie;Jill St. John;David Hedison;Claude Rains;Fernando Lamas
2983;Timothy Bond;The Lost World;4.8;Adventure|Fantasy|Science Fiction;1/01/1992;John Rhys-Davies;David Warner;Eric McCormack;Nathania Stanford;Darren Peter Mercer
2984;Charlie Chaplin;A Countess from Hong Kong;5.7;Comedy|Romance;5/01/1967;Marlon Brando;Sophia Loren;Tippi Hedren;Sydney Chaplin;Charlie Chaplin
2985;R.G. Springsteen;Tiger by the Tail;0.0;Drama|Thriller;1/08/1968;Christopher George;Tippi Hedren;Dean Jagger;Charo;Glenda Farrell
2986;George Montgomery;Satan's Harvest;6.0;;1/02/1970;George Montgomery;Tippi Hedren;Matt Monro;none;none
2987;Percival Rubens;Mr. Kingstreet's War;6.0;Drama|History;1/05/1973;John Saxon;Tippi Hedren;Rossano Brazzi;Brian O'Shaughnessy;none
